GPS Time,Device Time,Longitude,Latitude,GPS Speed (Meters/second),Horizontal Dilution of Precision,Altitude,Bearing,G(x),G(y),G(z),G(calibrated),Speed (OBD)(km/h),Trip Distance(km),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Engine RPM(rpm),Throttle Position(Manifold)(%),Unnamed: 18,11749
Sun Mar 31 11:02:31 GMT+02:00 2019,2019-03-31 11:02:30.496000,7.49045257,44.64949441,0.66,4.288,398,218.8,-1.2682953,7.249756,6.17984,-0.0013563633,1,0.000248333322815597,0.612855076789856,0.0340475067496299,878,14.9019613265991,,
Sun Mar 31 11:02:31 GMT+02:00 2019,2019-03-31 11:02:30.595000,7.49045257,44.64949441,0.66,4.288,398,218.8,-0.6625519,7.3742523,7.1494904,0.0037622105,1,0.000248333322815597,0.581711828708648,0.0340475067496299,878,14.9019613265991,,
Sun Mar 31 11:02:31 GMT+02:00 2019,2019-03-31 11:02:30.697000,7.49045257,44.64949441,0.66,4.288,398,218.8,-1.1246338,7.3072205,6.649109,0.01844261,1,0.000248333322815597,0.581711828708648,0.0340475067496299,834.5,14.9019613265991,,
Sun Mar 31 11:02:31 GMT+02:00 2019,2019-03-31 11:02:30.796000,7.49045257,44.64949441,0.66,4.288,398,218.8,-1.0408325,7.0582275,6.313919,-0.009828091,2,0.000415833317674696,0.581711828708648,0.0340475067496299,834.5,14.9019613265991,,
Sun Mar 31 11:02:31 GMT+02:00 2019,2019-03-31 11:02:30.896000,7.49045257,44.64949441,0.66,4.288,398,218.8,-1.3568726,7.163574,6.8334656,0.0063268277,2,0.000415833317674696,0.581711828708648,0.0340475067496299,834.5,14.9019613265991,,
Sun Mar 31 11:02:31 GMT+02:00 2019,2019-03-31 11:02:30.996000,7.49045257,44.64949441,0.66,4.288,398,218.8,-1.0767517,7.4963684,6.2061768,0.010684103,2,0.000415833317674696,1.22406947612762,0.0966802388429641,834.5,14.9019613265991,,
Sun Mar 31 11:02:31 GMT+02:00 2019,2019-03-31 11:02:31.095000,7.49045257,44.64949441,0.66,4.288,398,218.8,-1.1868896,7.6711426,6.124771,0.007250564,2,0.000415833317674696,1.22406947612762,0.0966802388429641,880,14.9019613265991,,
Sun Mar 31 11:02:31 GMT+02:00 2019,2019-03-31 11:02:31.195000,7.49045257,44.64949441,0.66,4.288,398,218.8,-1.2491302,7.5610046,6.345047,0.033200562,2,0.000629722198937088,1.22406947612762,0.0966802388429641,880,14.9019613265991,,
Sun Mar 31 11:02:31 GMT+02:00 2019,2019-03-31 11:02:31.296000,7.49045257,44.64949441,0.66,4.288,398,218.8,-1.2419586,7.50354,5.815918,-0.0062350035,2,0.000629722198937088,1.22406947612762,0.0966802388429641,880,14.9019613265991,,
Sun Mar 31 11:02:31 GMT+02:00 2019,2019-03-31 11:02:31.396000,7.49045257,44.64949441,0.66,4.288,398,218.8,-1.2132263,7.6040955,5.9093018,0.00221531,2,0.000629722198937088,1.22406947612762,0.0966802388429641,880,15.2941179275512,,
Sun Mar 31 11:02:32 GMT+02:00 2019,2019-03-31 11:02:31.496000,7.49045553,44.64949345,0.71,4.288,397,193.4,-1.9841614,8.161957,6.170273,0.081427395,2,0.000629722198937088,1.47450375556945,0.0966802388429641,880,15.2941179275512,,
Sun Mar 31 11:02:32 GMT+02:00 2019,2019-03-31 11:02:31.596000,7.49045553,44.64949345,0.71,4.288,397,193.4,-1.9506378,8.90416,6.1606903,0.14050466,2,0.000629722198937088,1.47450375556945,0.0966802388429641,1043,15.2941179275512,,
Sun Mar 31 11:02:32 GMT+02:00 2019,2019-03-31 11:02:31.696000,7.49045553,44.64949345,0.71,4.288,397,193.4,-5.642502,6.9672394,10.087173,0.19349651,2,0.000892499985639005,1.47450375556945,0.0966802388429641,1043,15.2941179275512,,
