GPS Time,GPS Speed (Meters/second),Speed (OBD)(km/h),Kilometers Per Litre(Instant)(kpl),Trip Distance(km),Kilometers Per Litre(Long Term Average)(kpl),Average trip speed(whilst stopped or moving)(km/h)
Fri Apr 05 16:56:38 GMT+02:00 2019,0.457947,0,0.522252321243286,0.000820555549581,1.21920371055603,1.5
Fri Apr 05 16:56:39 GMT+02:00 2019,0.392281,0,0,0.000820555549581,1.20468938350678,1.20000004768372
Fri Apr 05 16:56:40 GMT+02:00 2019,0.394066,0,0,0.000820555549581,1.19321620464325,1.20000004768372
Fri Apr 05 16:56:41 GMT+02:00 2019,0.312215,4,0,0.000820555549581,1.19321620464325,1.66666662693024
Fri Apr 05 16:56:42 GMT+02:00 2019,0.46858,3,2.63887715339661,0.002376110991463,1.4341596364975,1.85714280605316
Fri Apr 05 16:56:43 GMT+02:00 2019,0.516137,3,2.63887715339661,0.002376110991463,1.4341596364975,1.85714280605316
Fri Apr 05 16:56:44 GMT+02:00 2019,0.566137,0,1.86104428768158,0.002376110991463,1.49514317512512,1.625
Fri Apr 05 16:56:45 GMT+02:00 2019,0.41128,0,0,0.002376110991463,1.48624348640442,1.625
Fri Apr 05 16:56:46 GMT+02:00 2019,0.230543,0,0,0.002376110991463,1.48624348640442,1.44444441795349
Fri Apr 05 16:56:47 GMT+02:00 2019,0.008319,6,0,0.002376110991463,1.4783798456192,1.89999997615814
Fri Apr 05 16:56:48 GMT+02:00 2019,0.636689,6,0.910194098949432,0.002376110991463,1.4215612411499,1.89999997615814
Fri Apr 05 16:56:49 GMT+02:00 2019,1.923622,14,0.910194098949432,0.006459444761276,1.4215612411499,3
Fri Apr 05 16:56:50 GMT+02:00 2019,4.706448,19,6.36897611618042,0.013261111453176,1.87132620811462,4.33333349227905
Fri Apr 05 16:56:51 GMT+02:00 2019,5.023921,19,7.92959022521973,0.013261111453176,2.37618160247803,4.33333349227905
Fri Apr 05 16:56:52 GMT+02:00 2019,4.829786,19,7.92959022521973,0.0212780572474,2.37618160247803,5.46153831481934
Fri Apr 05 16:56:53 GMT+02:00 2019,4.722436,16,10.8282070159912,0.028564862906933,3.02633738517761,6.2142858505249
Fri Apr 05 16:56:54 GMT+02:00 2019,4.1433,16,3.73200488090515,0.028564862906933,3.07674217224121,6.2142858505249
Fri Apr 05 16:56:55 GMT+02:00 2019,3.840434,17,3.73200488090515,0.035678196698427,3.07674217224121,6.93333339691162
Fri Apr 05 16:56:56 GMT+02:00 2019,4.384216,19,9.65964984893799,0.043648198246956,3.51560258865356,7.6875
Fri Apr 05 16:56:57 GMT+02:00 2019,4.785035,19,11.0388240814209,0.043648198246956,3.98580408096313,7.6875
Fri Apr 05 16:56:58 GMT+02:00 2019,4.762722,16,11.0388240814209,0.051037088036537,3.98580408096313,8.17647075653076
Fri Apr 05 16:56:59 GMT+02:00 2019,4.188003,13,8.48298072814941,0.057147227227688,4.25034379959106,8.44444465637207
Fri Apr 05 16:57:00 GMT+02:00 2019,2.965486,13,3.3293240070343,0.057147227227688,4.19917631149292,8.44444465637207
Fri Apr 05 16:57:01 GMT+02:00 2019,2.828368,17,3.3293240070343,0.063772223889828,4.19917631149292,8.89473724365234
Fri Apr 05 16:57:02 GMT+02:00 2019,3.756422,21,4.76742076873779,0.071483060717583,4.22908353805542,9.5
Fri Apr 05 16:57:03 GMT+02:00 2019,5.022262,21,4.76742076873779,0.071483060717583,4.22908353805542,9.5
Fri Apr 05 16:57:04 GMT+02:00 2019,5.035703,18,9.73092365264893,0.07992222905159,4.50417566299439,9.90476226806641
Fri Apr 05 16:57:05 GMT+02:00 2019,4.721184,13,10.0028963088989,0.086195424199104,4.76601934432983,10.0454549789429
Fri Apr 05 16:57:06 GMT+02:00 2019,3.173473,13,10.0028963088989,0.086195424199104,4.76601934432983,10.0454549789429
Fri Apr 05 16:57:07 GMT+02:00 2019,1.862219,11,7.20263719558716,0.09102875739336,4.87677478790283,10.0869569778442
Fri Apr 05 16:57:08 GMT+02:00 2019,1.019343,12,6.9890456199646,0.095657505095005,4.96861267089844,10.1666669845581
Fri Apr 05 16:57:09 GMT+02:00 2019,0.365503,12,8.28812694549561,0.095657505095005,5.10692596435547,10.1666669845581
Fri Apr 05 16:57:10 GMT+02:00 2019,0.002582,7,8.28812694549561,0.099528752267361,5.10692596435547,10.039999961853
Fri Apr 05 16:57:11 GMT+02:00 2019,0.060192,3,4.99070024490356,0.101623199880123,5.10227680206299,9.76923084259033
Fri Apr 05 16:57:12 GMT+02:00 2019,0.002315,3,2.15765404701233,0.101623199880123,4.98902225494385,9.76923084259033
Fri Apr 05 16:57:13 GMT+02:00 2019,0.012616,1,2.15765404701233,0.102492645382881,4.98902225494385,9.44444465637207
Fri Apr 05 16:57:14 GMT+02:00 2019,0.044401,0,0.709099173545837,0.102492645382881,4.83050632476807,9.10714244842529
Fri Apr 05 16:57:15 GMT+02:00 2019,0.004184,0,0,0.102492645382881,4.82229137420654,9.10714244842529
Fri Apr 05 16:57:16 GMT+02:00 2019,0.169561,0,0,0.102492645382881,4.82229137420654,8.79310321807861
Fri Apr 05 16:57:17 GMT+02:00 2019,0.124378,0,0,0.102492645382881,4.81437301635742,8.5
Fri Apr 05 16:57:18 GMT+02:00 2019,0.053192,0,0,0.102492645382881,4.80673122406006,8.5
Fri Apr 05 16:57:19 GMT+02:00 2019,0.120964,6,0,0.102492645382881,4.80673122406006,8.41935443878174
Fri Apr 05 16:57:20 GMT+02:00 2019,1.40768,14,1.44656991958618,0.106803759932518,4.69833850860596,8.59375
Fri Apr 05 16:57:21 GMT+02:00 2019,2.874992,14,1.44656991958618,0.106803759932518,4.69833850860596,8.59375
Fri Apr 05 16:57:22 GMT+02:00 2019,4.12576,22,2.25801968574524,0.1141237616539,4.62207889556885,9
Fri Apr 05 16:57:23 GMT+02:00 2019,5.252415,24,2.3115496635437,0.123157650232315,4.55206251144409,9.44117641448975
Fri Apr 05 16:57:24 GMT+02:00 2019,6.208091,28,3.81233143806458,0.131614878773689,4.53030586242676,9.97142887115479
Fri Apr 05 16:57:25 GMT+02:00 2019,7.08656,31,5.63948202133179,0.136662662029266,4.56199645996094,10.5555553436279
Fri Apr 05 16:57:26 GMT+02:00 2019,7.793993,32,10.1406097412109,0.142218917608261,4.71695804595947,11.1351346969605
Fri Apr 05 16:57:27 GMT+02:00 2019,8.333273,32,5.78079175949097,0.155961140990257,4.74571037292481,12.2051286697388
Fri Apr 05 16:57:28 GMT+02:00 2019,8.915807,32,17.0818004608154,0.16153447329998,5.0703444480896,12.6999998092651
Fri Apr 05 16:57:29 GMT+02:00 2019,9.064717,31,18.2316665649414,0.174514055252075,5.0703444480896,13.5952377319336
Fri Apr 05 16:57:30 GMT+02:00 2019,8.430748,28,15.785195350647,0.17984864115715,5.34508419036865,13.930233001709
Fri Apr 05 16:57:31 GMT+02:00 2019,6.534354,19,10.0049133300781,0.186174064874649,5.4615797996521,14.0454549789429
Fri Apr 05 16:57:32 GMT+02:00 2019,3.637184,10,10.6805429458618,0.190326705574989,5.58887147903442,13.9555559158325
Fri Apr 05 16:57:33 GMT+02:00 2019,1.725713,10,4.62294673919678,0.193448930978775,5.56587362289429,13.8695650100708
Fri Apr 05 16:57:34 GMT+02:00 2019,1.323363,10,2.80610275268555,0.193448930978775,5.50169277191162,13.8695650100708
Fri Apr 05 16:57:35 GMT+02:00 2019,2.034509,15,2.80610275268555,0.198532268404961,5.50169277191162,13.8936166763306
Fri Apr 05 16:57:36 GMT+02:00 2019,3.908903,21,3.12118601799011,0.206037268042564,5.44759035110474,14.0416669845581
Fri Apr 05 16:57:37 GMT+02:00 2019,6.352653,21,3.15181255340576,0.206037268042564,5.39657306671143,14.0416669845581
Fri Apr 05 16:57:38 GMT+02:00 2019,7.378277,28,3.15181255340576,0.215844079852104,5.39657306671143,14.326530456543
Fri Apr 05 16:57:39 GMT+02:00 2019,9.072183,35,3.11776995658875,0.228137835860252,5.34703397750855,14.7399997711182
Fri Apr 05 16:57:40 GMT+02:00 2019,9.650288,36,3.46929550170898,0.242406859993935,5.3070821762085,15.1568632125855
Fri Apr 05 16:57:41 GMT+02:00 2019,10.159329,36,4.8639030456543,0.242406859993935,5.29784917831421,15.1568632125855
Fri Apr 05 16:57:42 GMT+02:00 2019,10.283898,39,16.7243423461914,0.255594372749329,5.53104257583618,15.615385055542
Fri Apr 05 16:57:43 GMT+02:00 2019,10.80438,38,17.3000373840332,0.264534920454025,5.53104257583618,16.0377349853516
Fri Apr 05 16:57:44 GMT+02:00 2019,10.10626,38,17.3000373840332,0.264534920454025,5.76642274856567,16.0377349853516
Fri Apr 05 16:57:45 GMT+02:00 2019,9.474555,33,17.3000373840332,0.284119099378586,5.76642274856567,16.3518524169922
Fri Apr 05 16:57:46 GMT+02:00 2019,7.085207,24,15.0818033218384,0.296057432889938,5.94907712936401,16.490909576416
Fri Apr 05 16:57:47 GMT+02:00 2019,6.121725,24,14.2869691848755,0.296057432889938,6.10942125320435,16.490909576416
Fri Apr 05 16:57:48 GMT+02:00 2019,3.793915,11,10.3722915649414,0.307024389505386,6.10942125320435,16.3684215545654
Fri Apr 05 16:57:49 GMT+02:00 2019,2.463517,8,8.1259298324585,0.308882176876068,6.14746856689453,16.2241382598877
Fri Apr 05 16:57:50 GMT+02:00 2019,0.918489,8,6.04545021057129,0.308882176876068,6.14557933807373,16.2241382598877
Fri Apr 05 16:57:51 GMT+02:00 2019,1.266064,4,6.04545021057129,0.311483830213547,6.14557933807373,16.0169486999512
Fri Apr 05 16:57:52 GMT+02:00 2019,1.392884,10,1.37803304195404,0.314433544874191,6.05889654159546,15.9166669845581
Fri Apr 05 16:57:53 GMT+02:00 2019,3.600135,10,1.37803304195404,0.314433544874191,6.05889654159546,15.9166669845581
Fri Apr 05 16:57:54 GMT+02:00 2019,5.185525,16,1.37803304195404,0.319474667310715,6.05889654159546,15.9180326461792
Fri Apr 05 16:57:55 GMT+02:00 2019,5.805085,23,2.23662376403809,0.327085077762604,5.99064207077026,16.0322589874268
Fri Apr 05 16:57:56 GMT+02:00 2019,6.394247,23,2.34775996208191,0.327085077762604,5.9267315864563,16.0322589874268
Fri Apr 05 16:57:57 GMT+02:00 2019,6.88505,23,3.81097269058228,0.327085077762604,5.8902530670166,16.0322589874268
Fri Apr 05 16:57:58 GMT+02:00 2019,7.838768,28,3.81097269058228,0.347215920686722,5.8902530670166,16.2222213745117
Fri Apr 05 16:57:59 GMT+02:00 2019,7.595444,25,11.430516242981,0.358721345663071,5.98415565490723,16.359375
Fri Apr 05 16:58:00 GMT+02:00 2019,6.9741,25,3.63021373748779,0.358721345663071,5.94492340087891,16.359375
Fri Apr 05 16:58:01 GMT+02:00 2019,7.35886,29,3.63021373748779,0.369558840990067,5.94492340087891,16.5538463592529
Fri Apr 05 16:58:02 GMT+02:00 2019,8.901354,31,10.3257703781128,0.381950497627258,6.0167407989502,16.7727279663086
Fri Apr 05 16:58:03 GMT+02:00 2019,8.578698,31,12.3634252548218,0.381950497627258,6.11910629272461,16.7727279663086
Fri Apr 05 16:58:04 GMT+02:00 2019,7.867745,28,12.3634252548218,0.393414527177811,6.11910629272461,16.9402980804443
Fri Apr 05 16:58:05 GMT+02:00 2019,7.095706,27,10.2911624908447,0.404552042484283,6.18532943725586,17.0882358551025
Fri Apr 05 16:58:06 GMT+02:00 2019,7.413082,27,11.3184976577759,0.404552042484283,6.26553535461426,17.0882358551025
Fri Apr 05 16:58:07 GMT+02:00 2019,7.413311,26,11.3184976577759,0.415615797042847,6.26553535461426,17.2173919677734
Fri Apr 05 16:58:08 GMT+02:00 2019,6.895152,22,12.5590581893921,0.42648246884346,6.36235857009888,17.2857151031494
Fri Apr 05 16:58:09 GMT+02:00 2019,5.924512,22,10.9769248962402,0.42648246884346,6.43227624893189,17.2857151031494
Fri Apr 05 16:58:10 GMT+02:00 2019,4.866414,19,10.9769248962402,0.43508106470108,6.43227624893189,17.3098583221436
