GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated),Speed (OBD)(km/h),Litres Per 100 Kilometer(Instant)(l/100km),GPS Altitude(m),Engine RPM(rpm),Trip Distance(km),Acceleration Sensor(Total)(g)
Tue Mar 26 16:59:48 GMT+01:00 2019,26-Mar-2019 17:01:18.365,7.642938238006353,45.029986754310016,7.6063194,8.0,255.78321264145083,220.34875,-0.36750996,9.113529,4.250905,0.044778287,30.0,6.265089511871338,255.78321264145083,0.0,3.836010217666626,0.044778287410736084
Tue Mar 26 16:59:49 GMT+01:00 2019,26-Mar-2019 17:01:19.364,7.642862564168994,45.02992288599385,8.003965,8.0,255.85962790636756,220.64883,-1.2258313,9.020155,4.2700586,0.043955386,30.0,5.847416877746582,255.85962790636756,0.0,3.8443517684936523,0.04395538568496704
Tue Mar 26 16:59:50 GMT+01:00 2019,26-Mar-2019 17:01:20.364,7.642787681915602,45.029859985662945,8.245269,8.0,255.87584486267832,219.2289,-0.25617957,8.856153,4.8267107,0.014162663,29.0,5.847416877746582,255.87584486267832,0.0,3.8527920246124268,0.014162663370370865
Tue Mar 26 16:59:51 GMT+01:00 2019,26-Mar-2019 17:01:21.365,7.642717992498831,45.02979819623852,8.28746,8.0,255.8525378406024,217.27365,-0.2837129,8.51857,4.8338933,0.02108283,26.0,6.0490522384643555,255.8525378406024,0.0,3.859682321548462,0.02108282968401909
Tue Mar 26 16:59:52 GMT+01:00 2019,26-Mar-2019 17:01:22.364,7.64265513887053,45.02973855269187,7.9828277,6.0,255.83728390739088,216.77452,-0.2621651,8.596381,4.712986,0.011501985,23.0,6.7470197677612305,255.83728390739088,0.0,3.8663177490234375,0.011501984670758247
Tue Mar 26 16:59:53 GMT+01:00 2019,26-Mar-2019 17:01:23.364,7.642603176587599,45.02968827533657,7.25089,6.0,255.8026974977675,217.67645,-0.49081135,8.762778,4.9548006,0.046375334,20.0,8.771125793457031,255.8026974977675,0.0,3.8721764087677,0.0463753342628479
Tue Mar 26 16:59:54 GMT+01:00 2019,26-Mar-2019 17:01:24.364,7.6425616158439516,45.02964953062349,6.192235,6.0,255.75154557154562,219.86769,-0.6967127,8.651448,4.7907977,0.026145356,18.0,9.745695114135742,255.75154557154562,0.0,3.876931667327881,0.02614535577595234
Tue Mar 26 16:59:55 GMT+01:00 2019,26-Mar-2019 17:01:25.364,7.642525193315431,45.029618241505425,5.257708,6.0,255.74418554382527,223.53136,-0.5542577,8.724471,4.497508,0.017130237,15.0,11.694833755493164,255.74418554382527,0.0,3.881459951400757,0.017130237072706223
Tue Mar 26 16:59:56 GMT+01:00 2019,26-Mar-2019 17:01:26.364,7.642491488558936,45.02959288640961,4.5576735,6.0,255.73557340635492,222.07043,-0.48123455,8.643068,4.369418,0.010881722,13.0,11.694833755493164,255.73557340635492,0.0,3.8853487968444824,0.01088172197341919
Tue Mar 26 16:59:57 GMT+01:00 2019,26-Mar-2019 17:01:27.365,7.642461071620149,45.02956845398958,3.9895995,6.0,255.7245111764015,221.61914,-0.44891283,8.866926,4.534618,0.035237014,10.0,13.494039535522461,255.7245111764015,0.0,3.8895270824432373,0.035237014293670654
Tue Mar 26 16:59:58 GMT+01:00 2019,26-Mar-2019 17:01:28.365,7.642434008523701,45.02954622742587,3.514754,6.0,255.71086752125132,221.00763,-0.50757074,9.032125,4.1036615,0.031602204,9.0,17.542251586914062,255.71086752125132,0.0,3.8921658992767334,0.03160220384597778
Tue Mar 26 16:59:59 GMT+01:00 2019,26-Mar-2019 17:01:29.365,7.6424093813490135,45.029525248552,3.1344585,6.0,255.69494301966193,219.32008,-0.59495914,9.168595,3.489549,0.020527434,8.0,19.491390228271484,255.69494301966193,0.0,3.8942649364471436,0.020527433604002
Tue Mar 26 17:00:00 GMT+01:00 2019,26-Mar-2019 17:01:30.365,7.642387891969055,45.029505550506826,2.7717505,16.0,255.670760006951,220.02733,-0.50278234,9.1350765,3.3686419,0.01756673,9.0,21.927814483642578,255.670760006951,0.0,3.896789073944092,0.017566729336977005
Tue Mar 26 17:00:01 GMT+01:00 2019,26-Mar-2019 17:01:31.364,7.6423669862986054,45.029487240774905,2.623047,8.0,255.64118708184063,220.64972,-0.4429273,9.229648,3.2202013,0.018544879,11.0,19.491390228271484,255.64118708184063,0.0,3.8995113372802734,0.01854487881064415
